qualified_id,cohort,artifact_sha256,parameter_id,direction,ordinal,tensor_index,tensor_name,dtype,shape,shape_signature,quantization_status,scheme,granularity,scales,zero_points,quantized_dimension,contract_sha256
litert-modern-static-int8/expanded-regnetx-160-tv2-in1k,litert-modern-static-int8,58537895ce4fd18504af40d3b3456de9d52227e4f42b6e53d8ac4ebe8ab036ae,output:0:T920,output,0,920,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.03918502479791641],[-101],0,bcebf97685946c17824bce3ecb5fb6e4df768075d6119c95dde48a90dee7b1b1
litert-modern-static-int8/expanded-resnet18,litert-modern-static-int8,4d0d6bd49d4f54e1e5aa1d58bf0bfaab09ec12fcc3f5d663c1ac1761774ba76f,input:0:T88,input,0,88,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017623191699385643],[-14],0,dd2065aa81c6462a0d6ee3c30c886c2a0602932991c8d8049562cbfaf7621041
litert-modern-static-int8/expanded-resnet18,litert-modern-static-int8,4d0d6bd49d4f54e1e5aa1d58bf0bfaab09ec12fcc3f5d663c1ac1761774ba76f,output:0:T44,output,0,44,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.09038539230823517],[-51],0,bdd450b9f405190ec8d6114ca9e1732584c680d8ec8a1691af2b66766fc477f8
litert-modern-static-int8/expanded-resnet34,litert-modern-static-int8,996adbf1e1ab665ba27860b8f403e47a83052a4f120ad400e46975d49a8c9949,input:0:T144,input,0,144,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017623191699385643],[-14],0,dd2065aa81c6462a0d6ee3c30c886c2a0602932991c8d8049562cbfaf7621041
litert-modern-static-int8/expanded-resnet34,litert-modern-static-int8,996adbf1e1ab665ba27860b8f403e47a83052a4f120ad400e46975d49a8c9949,output:0:T68,output,0,68,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.09004086256027222],[-57],0,b62a3214aa85b754da1e0bf187c9647d3292f80c21b2a49ac5dbb8a748f9ed14
litert-modern-static-int8/expanded-resnet50,litert-modern-static-int8,4b47a9100b1ccd66c1dd5ad59c2ef6bc1ae43dbda240cd9354e1ea874a6f0ebc,input:0:T195,input,0,195,g0::x,INT8,"[1,3,224,224]","[1,3,224,224]",complete,affine,per_tensor,[0.017552465200424194],[-14],0,065244a76f82e523da7f9c4524c2282c857f8681b22fc21968578c14ecd975f5
litert-modern-static-int8/expanded-resnet50,litert-modern-static-int8,4b47a9100b1ccd66c1dd5ad59c2ef6bc1ae43dbda240cd9354e1ea874a6f0ebc,output:0:T86,output,0,86,g0::linear,INT8,"[1,1000]","[1,1000]",complete,affine,per_tensor,[0.030605681240558624],[-90],0,dcdb6b3550ec19d96a3f76f28747e2ef0ac72c20e26dd8f2e0bea09d097e8bc8
mcunet-curated-ptq/mbv2-w0-35,mcunet-curated-ptq,00c87d2a5f2d96deb7a7e8afe000b786e5198384ab66f21c714dd3ed43d00f8c,input:0:T276,input,0,276,input,INT8,"[1,144,144,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mbv2-w0-35,mcunet-curated-ptq,00c87d2a5f2d96deb7a7e8afe000b786e5198384ab66f21c714dd3ed43d00f8c,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.16410475969314575],[-44],0,e2743dd84d5e1c12146938b1d42971ec2ffef278ada25f30a0de26705031afd6
mcunet-curated-ptq/mcunet-in0,mcunet-curated-ptq,4791f13ac1b90b0a1a0b96177d905197a1ebd34f7bc960d92c9d3250aa5b6ef8,input:0:T239,input,0,239,input,INT8,"[1,48,48,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-in0,mcunet-curated-ptq,4791f13ac1b90b0a1a0b96177d905197a1ebd34f7bc960d92c9d3250aa5b6ef8,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.1465642899274826],[-32],0,b90ff780b916bf7647e2d29e456aa86a92dae924a22af46a4ed79dd67e94c320
mcunet-curated-ptq/mcunet-in1,mcunet-curated-ptq,bf14b8de64caba8630086250b4c6ee660c222d8e48ce3e8c791d0a402e15ef73,input:0:T223,input,0,223,input,INT8,"[1,96,96,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-in1,mcunet-curated-ptq,bf14b8de64caba8630086250b4c6ee660c222d8e48ce3e8c791d0a402e15ef73,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.16098004579544067],[-35],0,585f878c4e532cb56fe1c862c9c77cb00b9a43ae30dfbc65a068d1faece399b2
mcunet-curated-ptq/mcunet-in2,mcunet-curated-ptq,38c5d0794fa40196cb5c8da4fc64b116a33f448f3db721458916b54b1e4a11fb,input:0:T287,input,0,287,input,INT8,"[1,160,160,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-in2,mcunet-curated-ptq,38c5d0794fa40196cb5c8da4fc64b116a33f448f3db721458916b54b1e4a11fb,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.19033899903297424],[-35],0,f74c757a454f1f67ed1633742bbaf3270c86238f66794534874eb9c31ad15db0
mcunet-curated-ptq/mcunet-in3,mcunet-curated-ptq,780563f544bccba413b1ee4e051159996ac8b5be39eba8bb38761a51b58a07d1,input:0:T287,input,0,287,input,INT8,"[1,176,176,3]",[],complete,affine,per_tensor,[0.007874015718698502],[0],0,5a6fc64bb769bd7f21cbefe9486e54fa4f433f1162fb443e053f024fd4570b68
mcunet-curated-ptq/mcunet-in3,mcunet-curated-ptq,780563f544bccba413b1ee4e051159996ac8b5be39eba8bb38761a51b58a07d1,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.20178799331188202],[-44],0,c29b54c13700958fde8f514622890f6277f096f2463004f8ef7c1303841d441f
mcunet-curated-ptq/mcunet-in4,mcunet-curated-ptq,1ad36261efdc5185d5236e7f8306a9481d9044c56cbb72f9230fbc67ba13545e,input:0:T271,input,0,271,input,INT8,"[1,160,160,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-in4,mcunet-curated-ptq,1ad36261efdc5185d5236e7f8306a9481d9044c56cbb72f9230fbc67ba13545e,output:0:T1,output,0,1,Reshape,INT8,"[1,1000]",[],complete,affine,per_tensor,[0.17593495547771454],[-46],0,721139389a909a05bd9eb96d4343b97f2aa5f70b5abc613770c914146f76d3f2
mcunet-curated-ptq/mcunet-person-det,mcunet-curated-ptq,ceb419a25d1f807e4a2480cb93f75e7d18fc6f147fc0addbf9288da8a957449a,input:0:T68,input,0,68,input_0_f.1,FLOAT32,"[1,128,160,3]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mcunet-curated-ptq/mcunet-person-det,mcunet-curated-ptq,ceb419a25d1f807e4a2480cb93f75e7d18fc6f147fc0addbf9288da8a957449a,output:0:T11,output,0,11,1807,FLOAT32,"[1,4,5,18]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mcunet-curated-ptq/mcunet-person-det,mcunet-curated-ptq,ceb419a25d1f807e4a2480cb93f75e7d18fc6f147fc0addbf9288da8a957449a,output:1:T108,output,1,108,1808,FLOAT32,"[1,8,10,18]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mcunet-curated-ptq/mcunet-person-det,mcunet-curated-ptq,ceb419a25d1f807e4a2480cb93f75e7d18fc6f147fc0addbf9288da8a957449a,output:2:T153,output,2,153,1809,FLOAT32,"[1,16,20,18]",[],not_quantized,none,not_quantized,[],[],0,225a7edf66752cb76b869e0e507846dd75683cca0a1055994d2b515b55a55b54
mcunet-curated-ptq/mcunet-vww0,mcunet-curated-ptq,4676b97e2fe775929b1538446a120173ab0e1a0f94a1d81e7322f09fee9b3d1d,input:0:T223,input,0,223,input,INT8,"[1,64,64,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-vww0,mcunet-curated-ptq,4676b97e2fe775929b1538446a120173ab0e1a0f94a1d81e7322f09fee9b3d1d,output:0:T1,output,0,1,Reshape,INT8,"[1,2]",[],complete,affine,per_tensor,[0.09819237142801285],[0],0,f6bb7a76d1b94a220c0217bf39f3a27d327e63d901e3e4de7f07eac7d9860553
mcunet-curated-ptq/mcunet-vww1,mcunet-curated-ptq,d878916e93f59e63949ce9b8e1a585382d466d3b94d751b9f1628a7753e03c24,input:0:T239,input,0,239,input,INT8,"[1,80,80,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
mcunet-curated-ptq/mcunet-vww1,mcunet-curated-ptq,d878916e93f59e63949ce9b8e1a585382d466d3b94d751b9f1628a7753e03c24,output:0:T1,output,0,1,Reshape,INT8,"[1,2]",[],complete,affine,per_tensor,[0.11386775225400925],[-1],0,2454ff6900cbef58999c78be40712065a0eb9c6ff1ce1ad1fc9911f73ca76320
mcunet-curated-ptq/mcunet-vww2,mcunet-curated-ptq,5180674a058b7c7b627a4142b4c6b194382e6df05ad8c8eb40a86aab8c1c7986,input:0:T351,input,0,351,input,INT8,"[1,144,144,3]",[],complete,affine,per_tensor,[0.007843137718737125],[-1],0,fd85aad37bb50d79a5295c5e154dd392f5f3c6f5cceea601a0177708c1c5ca0f
